slots,capacity,total_weight,transport_time,dst,src
1,3,4,"[(40,50], (20,30], (0,10], (10,20], (50,60], (10,20], (0,10]]","[B, A, A, B, D, B, A]","[C, C, D, A, A, A, D]"
1,2,2,"[(10,20], (50,60], (70, inf), (30,40]]","[C, D, D, C]","[B, A, B, A]"
3,1,1,"[(10,20], (30,40], (40,50], (50,60]]","[B, D, C, D]","[A, B, D, A]"
2,1,1,"[(0,10], (20,30], (50,60]]","[A, A, D]","[D, C, A]"
4,1,1,"[(20,30], (70, inf), (10,20]]","[A, D, B]","[C, B, A]"
4,2,3,"[(30,40], (40,50], (50,60]]","[C, A, D]","[A, B, A]"
2,3,4,"[(70, inf), (30,40]]","[D, C]","[B, A]"
1,2,3,"[(0,10]]",[A],[D]
1,3,3,"[(20,30]]",[B],[D]
2,1,2,"[(40,50]]",[A],[B]
2,2,2,"[(10,20]]",[B],[A]
2,3,3,"[(10,20]]",[D],[C]
3,1,2,"[(0,10]]",[A],[D]
3,2,2,"[(20,30]]",[A],[C]
3,2,3,"[(70, inf)]",[D],[B]
4,2,2,"[(0,10]]",[A],[D]
